Municipality,Beach,Beach Type,Posting Reason
Agawam,Robinson Pond Beach (DCR),Freshwater,Bacterial Exceedance
Ashby,Damon Pond Beach (DCR),Freshwater,Bacterial Exceedance
Ashland,Ashland Reservoir - Main Beach (DCR),Freshwater,Bacterial Exceedance
Ashland,Hopkinton Reservoir - Main Beach (DCR),Freshwater,Bacterial Exceedance
Ashland,Hopkinton Reservoir - Upper Beach (DCR),Freshwater,Bacterial Exceedance
Boston,Malibu (DCR),Marine,Bacterial Exceedance
Boston,Savin Hill Beach (DCR),Marine,Bacterial Exceedance
Boston,Tenean Beach (DCR),Marine,Bacterial Exceedance
Braintree,Smith Beach,Marine,Bacterial Exceedance
Charlemont,Cold River Pool (DCR),Freshwater,Bacterial Exceedance
Clarksburg,Mauserts Pond (DCR),Freshwater,Bacterial Exceedance
Conway,Conway Swimming Pool,Freshwater,Precautionary - Rainfall/Severe Weather
Danvers,Sandy Beach - West,Marine,Bacterial Exceedance
Eastham,Cook's Brook,Marine,Bacterial Exceedance
Eastham,S. Sunken Meadow,Marine,Bacterial Exceedance
Framingham,Learned Pond Beach,Freshwater,Algae/Cyanobacteria Advisory
Framingham,Waushakum Beach,Freshwater,Algae/Cyanobacteria Advisory & Bacterial Exceedance
Georgetown,American Legion Park,Freshwater,Other
Ipswich,Sandy Point - Plum Island (DCR) @ North,Marine,Bacterial Exceedance
Lowell,Merrimac River - Bath House,Freshwater,Bacterial Exceedance
Lynn,Kings Beach (DCR),Marine,Bacterial Exceedance
Lynn,Lynn Beach (DCR),Marine,Bacterial Exceedance
Milton,Houghton's Pond @ Bathhouse (DCR),Freshwater,Algae/Cyanobacteria Advisory & Bacterial Exceedance
Nahant,Nahant Beach (DCR),Marine,Bacterial Exceedance
Nantucket,Miacomet Pond,Freshwater,Algae/Cyanobacteria Advisory
New Marlborough,York Lake Beach (DCR),Freshwater,Bacterial Exceedance
Oxford,Carbuncle Pond Beach,Freshwater,Algae/Cyanobacteria Advisory & Bacterial Exceedance
Quincy,Wollaston @ Channing Street (DCR),Marine,Bacterial Exceedance
Quincy,Wollaston @ Milton Street (DCR),Marine,Bacterial Exceedance
Quincy,Wollaston @ Rice Road (DCR),Marine,Bacterial Exceedance
Quincy,Wollaston @ Sachem Street (DCR),Marine,Bacterial Exceedance
Salem,Camp Naumkeag,Marine,Bacterial Exceedance
Salem,Children's Island - Back,Marine,Bacterial Exceedance
Salem,Ocean Avenue,Marine,Bacterial Exceedance
Saugus,Peckham Pond @ Camp Nihan (DCR),Freshwater,Bacterial Exceedance
Somerset,Pierce Beach,Marine,Bacterial Exceedance
Swampscott,Kings Beach,Marine,Bacterial Exceedance
Swansea,Cedar Cove Club,Marine,Bacterial Exceedance
Swansea,Sandy Beach,Marine,Bacterial Exceedance
Taunton,Watson Pond (DCR),Freshwater,Bacterial Exceedance
Templeton,Beaman's Pond - Campground (DCR),Freshwater,Bacterial Exceedance
Templeton,Beaman's Pond - Day Use Beach (DCR),Freshwater,Bacterial Exceedance
Tisbury,Hilman's Point,Marine,Bacterial Exceedance
Townsend,Pearl Hill Pond (DCR),Freshwater,Bacterial Exceedance
Wareham,Briarwood,Marine,Bacterial Exceedance
Wareham,Swift Neck,Marine,Bacterial Exceedance
Westfield,Hampton Ponds - Kingsley Beach (DCR),Freshwater,Algae/Cyanobacteria Advisory & Bacterial Exceedance
Westfield,Hampton Ponds - Lamberts Beach (DCR),Freshwater,Algae/Cyanobacteria Advisory & Bacterial Exceedance
Winchester,Shannon Beach @ Upper Mystic (DCR),Freshwater,Bacterial Exceedance
Winthrop,Donovans,Marine,Bacterial Exceedance
Worcester,Lake Quinsigamond - Regatta Point (DCR),Freshwater,Bacterial Exceedance
